"A","ID_PERSONA","ID","M_ALTA","CENTRE_ELECCIONS","N_FORMACIONS","N_ASSESSORAMENTS","SLABORAL","BAIXA_AFILIACIO","NUM_AFILIACIO","EDAT"
"362",2601298,2601298.2,3,1,2,0,1,0,2,27
"363",2633043,2633043.2,2,1,0,2,1,0,2,56
"364",2633043,2633043.2,2,1,0,2,1,0,2,56
"365",2639125,2639125.2,2,1,0,0,1,0,2,39
"366",2639125,2639125.2,2,1,0,0,1,0,2,39
"367",2658498,2658498.1,2,0,0,1,1,0,1,39
"368",2699070,2699070.3,3,1,0,0,0,1,3,31
"369",2699070,2699070.3,3,1,0,0,0,1,3,31
"370",2699070,2699070.3,3,1,0,0,0,1,3,31
"371",2711031,2711031.1,3,1,0,0,1,0,1,46
"372",2743078,2743078.1,2,0,0,0,1,0,1,54
"373",2767451,2767451.2,2,0,0,2,1,1,2,27
"374",2767451,2767451.2,2,0,0,2,1,1,2,27
"375",2785679,2785679.1,2,0,0,1,1,0,1,29
"376",2870517,2870517.2,2,1,0,2,1,0,2,30
"377",2870517,2870517.2,2,1,0,2,1,0,2,30
"378",2940362,2940362.2,2,0,0,0,1,0,2,45
"379",2940362,2940362.2,2,0,0,0,1,0,2,45
"380",2968633,2968633.1,3,1,0,0,1,0,1,43
"381",2977760,2977760.2,3,1,0,0,2,0,2,47
"382",2977760,2977760.2,3,1,0,0,2,0,2,47
"383",2977766,2977766.1,3,1,0,0,1,0,1,38
"384",2978038,2978038.2,2,1,0,2,1,0,2,43
"385",2978038,2978038.2,2,1,0,2,1,0,2,43
"386",3010715,3010715.1,3,0,0,0,2,0,1,42
"387",3019396,3019396.1,3,0,0,1,1,0,1,39
"388",3050037,3050037.2,3,0,0,0,1,1,2,36
"389",3050037,3050037.2,3,0,0,0,1,1,2,36
"390",3097514,3097514.1,2,1,0,0,1,0,1,37
"391",3174109,3174109.2,3,0,2,0,3,0,2,35
"392",3174109,3174109.2,3,0,2,0,3,0,2,35
"393",3238948,3238948.1,2,0,0,1,1,0,1,35
"394",3335305,3335305.2,2,1,0,2,1,0,2,48
"395",3335305,3335305.2,2,1,0,2,1,0,2,48
"396",3422788,3422788.1,2,1,0,0,1,0,1,48
"397",3422788,3422788.1,2,1,0,0,1,0,1,48
"398",3541939,3541939.2,3,1,0,2,1,0,2,56
"399",3541939,3541939.2,3,1,0,2,1,0,2,56
"400",3655146,3655146.1,2,1,0,0,1,0,1,33
"401",3856701,3856701.2,2,1,0,0,1,1,2,36
"402",3856701,3856701.2,2,1,0,0,1,1,2,36
"403",3856701,3856701.2,2,1,0,0,1,1,2,36
"404",3891583,3891583.2,3,1,0,2,1,1,2,35
"405",3891583,3891583.2,3,1,0,2,1,1,2,35
"406",3918774,3918774.1,2,0,1,0,1,0,1,33
"407",3934211,3934211.1,3,1,0,0,1,0,1,31
"408",3958052,3958052.1,3,1,0,1,1,1,1,46
"409",3972953,3972953.2,2,1,0,0,5,1,2,32
"410",3972953,3972953.2,2,1,0,0,5,1,2,32
"411",4059526,4059526.1,3,0,0,1,1,0,1,43
"412",4067119,4067119.2,3,0,0,2,5,0,2,30
"413",4067119,4067119.2,3,0,0,2,5,0,2,30
"414",4107546,4107546.1,3,0,0,1,1,0,1,23
"415",4143350,4143350.1,3,1,0,0,1,0,1,34
"416",4193568,4193568.1,2,1,0,1,1,0,1,44
"417",4210542,4210542.2,3,0,0,0,5,1,2,46
"418",4210542,4210542.2,3,0,0,0,5,1,2,46
"419",4234483,4234483.1,3,0,0,0,1,0,1,40
"420",4315375,4315375.1,3,0,0,1,5,1,1,35
"421",4427839,4427839.1,3,1,0,0,1,1,1,39
"422",4492343,4492343.1,2,1,0,0,1,0,1,49
"423",4517291,4517291.1,3,0,1,0,1,0,1,33
"424",4593612,4593612.1,3,1,0,1,1,0,1,50
"425",4613345,4613345.2,3,1,0,0,3,0,2,27
"426",4613345,4613345.2,3,1,0,0,3,0,2,27
"427",4635151,4635151.1,3,0,0,1,1,0,1,58
"428",4691583,4691583.2,2,0,0,0,5,0,2,47
"429",4691583,4691583.2,2,0,0,0,5,0,2,47
"430",4797831,4797831.1,2,1,0,0,1,1,1,42
"431",4798227,4798227.1,3,1,0,1,1,1,1,25
"432",5085729,5085729.1,3,0,0,1,1,1,1,43
"433",5087709,5087709.1,2,0,1,0,3,1,1,27
"434",5087763,5087763.1,2,0,0,1,5,0,1,39
"435",5089538,5089538.1,3,0,1,0,1,1,1,44
"436",5092508,5092508.1,3,1,0,1,1,1,1,51
"437",5093151,5093151.1,2,1,0,0,1,0,1,41
"438",5104133,5104133.1,3,1,0,0,1,0,1,51
"439",5104445,5104445.1,3,1,0,1,2,0,1,50
"440",5106154,5106154.1,2,0,0,1,1,0,1,32
"441",5109847,5109847.1,3,1,1,0,2,0,1,40
"442",5110503,5110503.1,3,1,0,0,1,0,1,40
"443",5114367,5114367.1,2,0,1,0,3,0,1,32
"444",5115128,5115128.1,2,0,1,0,3,1,1,48
"445",5116802,5116802.1,2,0,1,0,3,0,1,30
"446",5122298,5122298.1,3,1,1,0,3,0,1,59
"447",5301213,5301213.1,3,1,0,0,3,1,1,42
"448",5373356,5373356.1,3,0,0,1,1,0,1,51
"449",5484498,5484498.2,2,0,2,0,1,1,2,46
"450",5484498,5484498.2,2,0,2,0,1,1,2,46
"451",5686569,5686569.1,3,0,0,1,1,0,1,25
"452",5797461,5797461.1,2,1,0,0,1,0,1,41
"453",5815040,5815040.1,2,0,1,1,1,0,1,32
"454",5910426,5910426.1,2,1,0,1,1,0,1,30
"455",5953928,5953928.1,2,1,0,1,1,0,1,64
"456",5987695,5987695.1,3,1,0,0,1,0,1,48
"457",6008907,6008907.1,3,1,0,0,1,0,1,28
"458",6008956,6008956.1,3,1,0,1,1,0,1,35
"459",6037887,6037887.1,2,0,0,1,1,1,1,33
"460",6108401,6108401.1,2,1,0,0,1,1,1,33
"461",6144841,6144841.1,3,1,0,1,1,0,1,50
"462",6164007,6164007.1,3,0,0,1,1,0,1,52
"463",6173911,6173911.1,3,1,0,1,1,0,1,44
"464",6194379,6194379.1,2,1,0,0,1,0,1,46
