"A","ID","ID_PERSONA","M_ALTA","CENTRE_ELECCIONS","N_FORMACIONS","N_ASSESSORAMENTS","SLABORAL","BAIXA_AFILIACIO","NUM_AFILIACIO"
"195",1740740.2,1740740,3,1,0,0,1,0,2
"196",1740740.2,1740740,3,1,0,0,1,0,2
"197",1742788.1,1742788,2,1,0,1,1,0,1
"198",1743835.2,1743835,2,0,0,2,5,0,2
"199",1743835.2,1743835,2,0,0,2,5,0,2
"200",1748892.1,1748892,2,1,1,0,1,0,1
"201",1750181.2,1750181,3,0,0,2,1,0,2
"202",1750181.2,1750181,3,0,0,2,1,0,2
"203",1753696.2,1753696,3,1,0,2,1,0,2
"204",1753696.2,1753696,3,1,0,2,1,0,2
"205",1765647.2,1765647,3,1,0,2,1,0,2
"206",1765647.2,1765647,3,1,0,2,1,0,2
"207",1766565.2,1766565,2,0,0,2,4,0,2
"208",1766565.2,1766565,2,0,0,2,4,0,2
"209",1766893.1,1766893,3,1,0,0,1,0,1
"210",1774268.1,1774268,2,0,1,0,3,0,1
"211",1784586.2,1784586,3,1,0,2,1,0,2
"212",1784586.2,1784586,3,1,0,2,1,0,2
"213",1786507.1,1786507,3,0,0,1,1,0,1
"214",1789150.2,1789150,2,0,0,2,1,0,2
"215",1789150.2,1789150,2,0,0,2,1,0,2
"216",1790622.4,1790622,2,1,0,5,1,0,4
"217",1790622.4,1790622,2,1,0,5,1,0,4
"218",1790622.4,1790622,2,1,0,5,1,0,4
"219",1790622.4,1790622,2,1,0,5,1,0,4
"220",1790622.4,1790622,2,1,0,5,1,0,4
"221",1792416.1,1792416,2,0,0,1,1,0,1
"222",1793249.2,1793249,3,1,0,2,1,0,2
"223",1793249.2,1793249,3,1,0,2,1,0,2
"224",1797974.1,1797974,2,1,0,0,1,0,1
"225",1801981.1,1801981,3,1,0,1,1,1,1
"226",1804649.1,1804649,2,0,0,1,1,1,1
"227",1807211.2,1807211,3,1,0,0,2,0,2
"228",1807211.2,1807211,3,1,0,0,2,0,2
"229",1808243.1,1808243,3,1,0,1,5,0,1
"230",1816277.2,1816277,2,1,0,0,1,0,2
"231",1816277.2,1816277,2,1,0,0,1,0,2
"232",1817870.1,1817870,3,1,0,1,1,0,1
"233",1819311.1,1819311,3,0,0,1,1,0,1
"234",1822026.2,1822026,2,0,0,2,1,0,2
"235",1822026.2,1822026,2,0,0,2,1,0,2
"236",1834897.2,1834897,3,0,2,2,1,1,2
"237",1834897.2,1834897,3,0,2,2,1,1,2
"238",1838469.1,1838469,3,0,1,0,1,0,1
"239",1848895.1,1848895,3,1,0,0,0,0,1
"240",1852731.2,1852731,3,1,0,2,1,0,2
"241",1852731.2,1852731,3,1,0,2,1,0,2
"242",1855715.3,1855715,3,1,0,3,1,0,3
"243",1855715.3,1855715,3,1,0,3,1,0,3
"244",1855715.3,1855715,3,1,0,3,1,0,3
"245",1860133.2,1860133,3,1,0,0,6,0,2
"246",1860133.2,1860133,3,1,0,0,6,0,2
"247",1862397.3,1862397,3,1,0,0,2,0,3
"248",1862397.3,1862397,3,1,0,0,2,0,3
"249",1862397.3,1862397,3,1,0,0,2,0,3
